Review ID,Product,Review,Rating,Word Count,Character Count,Average Word Length,Sentence Count,Exclamation Count,Question Count,Title Word Count,Positive Score,Negative Score,Sentiment
R00064,Wireless Mouse,Nothing particularly stands out. It is easy to use after some practice. It has both strengths and weaknesses.,3,18,109,5,3,0,0,3,0.3,0.0,positive
R00065,Bluetooth Speaker,Performance has been smooth every day. The design is sleek and modern. The build quality is excellent.,4,17,102,5,3,0,0,3,0.53,0.0,positive
R00066,Coffee Maker,The packaging was average. It has both strengths and weaknesses. It meets basic requirements.,3,14,93,5,3,0,0,3,0.0,0.07,negative
R00067,Coffee Maker,It works exactly as advertised. Setup was quick and easy. Delivery was fast and the packaging was secure.,4,18,105,4,3,0,0,3,0.32,0.0,positive
R00068,Power Bank,The build quality feels cheap. The design is bulky and uncomfortable. Performance is slower than expected.,1,16,106,5,3,0,0,3,0.0,0.07,negative
R00069,Gaming Keyboard,It is overpriced for the features offered. The build quality feels cheap. The battery drains very quickly.,1,17,106,5,3,0,0,3,0.42,0.0,positive
R00070,Bluetooth Speaker,The build quality is excellent. Delivery was fast and the packaging was secure. Setup was quick and easy.,4,18,105,4,3,0,0,3,0.47,0.0,positive
R00071,Coffee Maker,It meets basic requirements. The packaging was average. Nothing particularly stands out.,3,12,88,6,3,0,0,3,0.01,0.0,positive
R00072,Office Chair,Delivery was fast and the packaging was secure. Setup was quick and easy. The value for money is impressive.,5,19,108,4,3,0,0,3,0.47,0.0,positive
R00073,Gaming Keyboard,Delivery was fast and the packaging was secure. It works exactly as advertised. The value for money is impressive.,5,19,114,5,3,0,0,3,0.46,0.0,positive
R00074,Gaming Keyboard,Performance has been smooth every day. The design is sleek and modern. The battery life exceeded my expectations.,4,18,113,5,3,0,0,3,0.3,0.0,positive
R00075,Laptop Stand,The quality is acceptable for the price. The packaging was average. The product performs as expected.,3,16,101,5,3,0,0,3,0.0,0.12,negative
R00076,Office Chair,Delivery was fast and the packaging was secure. Setup was quick and easy. The value for money is impressive.,5,19,108,4,3,0,0,3,0.47,0.0,positive
R00077,Laptop Stand,The quality is acceptable for the price. The packaging was average. The product performs as expected.,3,16,101,5,3,0,0,3,0.0,0.12,negative
R00078,Bluetooth Speaker,The design is bulky and uncomfortable. Delivery was delayed and the box was damaged. I would not recommend this product.,2,20,120,5,3,0,0,3,0.0,0.5,negative
R00079,Coffee Maker,It is easy to use after some practice. It has both strengths and weaknesses. The product performs as expected.,3,19,110,4,3,0,0,3,0.17,0.0,positive
R00080,Laptop Stand,The value for money is impressive. Customer support was helpful. The battery life exceeded my expectations.,4,16,107,5,3,0,0,3,1.0,0.0,positive
R00081,Desk Lamp,It stopped working after a few days. It is overpriced for the features offered. Setup instructions were confusing.,2,18,114,5,3,0,0,3,0.0,0.25,negative
R00082,Wireless Mouse,Nothing particularly stands out. It is easy to use after some practice. It has both strengths and weaknesses.,3,18,109,5,3,0,0,3,0.3,0.0,positive
R00083,Laptop Stand,The design is sleek and modern. The value for money is impressive. Performance has been smooth every day.,5,18,105,4,3,0,0,3,0.53,0.0,positive
R00084,Wireless Mouse,Performance is slower than expected. The battery drains very quickly. The design is bulky and uncomfortable.,1,16,108,5,3,0,0,3,0.0,0.06,negative
R00085,USB-C Hub,Nothing particularly stands out. The features are adequate for daily use. The quality is acceptable for the price.,3,18,114,5,3,0,0,3,0.17,0.0,positive
R00086,Bluetooth Speaker,The design is bulky and uncomfortable. Setup instructions were confusing. Delivery was delayed and the box was damaged.,1,18,119,5,3,0,0,3,0.0,0.4,negative
R00087,Bluetooth Speaker,Delivery was fast and the packaging was secure. Setup was quick and easy. The battery life exceeded my expectations.,5,19,116,5,3,0,0,3,0.34,0.0,positive
R00088,Laptop Stand,It is overpriced for the features offered. The battery drains very quickly. The design is bulky and uncomfortable.,2,18,114,5,3,0,0,3,0.0,0.03,negative
R00089,Office Chair,It has both strengths and weaknesses. The product performs as expected. The product is okay overall.,3,16,100,5,3,0,0,3,0.13,0.0,positive
R00090,Coffee Maker,The design is sleek and modern. Delivery was fast and the packaging was secure. Setup was quick and easy.,4,19,105,4,3,0,0,3,0.31,0.0,positive
R00091,Laptop Stand,The design is bulky and uncomfortable. Delivery was delayed and the box was damaged. Customer support was difficult to reach.,2,20,125,5,3,0,0,3,0.0,0.5,negative
R00092,Power Bank,The build quality feels cheap. The design is bulky and uncomfortable. Performance is slower than expected.,1,16,106,5,3,0,0,3,0.0,0.07,negative
R00093,Office Chair,The build quality feels cheap. It stopped working after a few days. The design is bulky and uncomfortable.,2,18,106,4,3,0,0,3,0.0,0.1,negative
R00094,USB-C Hub,Nothing particularly stands out. The features are adequate for daily use. The quality is acceptable for the price.,3,18,114,5,3,0,0,3,0.17,0.0,positive
R00095,Office Chair,I would definitely recommend this product. Customer support was helpful. Setup was quick and easy.,5,15,98,5,3,0,0,3,0.26,0.0,positive
R00096,Laptop Stand,Setup instructions were confusing. It is overpriced for the features offered. Performance is slower than expected.,1,16,114,6,3,0,0,3,0.0,0.2,negative
R00097,Smart Watch,It is overpriced for the features offered. The battery drains very quickly. Setup instructions were confusing.,2,16,110,5,3,0,0,3,0.07,0.0,positive
R00098,Smart Watch,Setup instructions were confusing. The design is bulky and uncomfortable. The battery drains very quickly.,2,15,106,6,3,0,0,3,0.0,0.12,negative
R00099,Power Bank,The product is okay overall. It meets basic requirements. The features are adequate for daily use.,3,16,98,5,3,0,0,3,0.17,0.0,positive
R00100,Office Chair,Delivery was fast and the packaging was secure. The build quality is excellent. It works exactly as advertised.,4,18,111,5,3,0,0,3,0.46,0.0,positive
R00101,Power Bank,Customer support was helpful. The build quality is excellent. The design is sleek and modern.,5,15,93,5,3,0,0,3,0.6,0.0,positive
R00102,Desk Lamp,Performance is slower than expected. I would not recommend this product. It is overpriced for the features offered.,2,18,115,5,3,0,0,3,0.0,0.1,negative
R00103,Desk Lamp,It has both strengths and weaknesses. Nothing particularly stands out. It is easy to use after some practice.,3,18,109,5,3,0,0,3,0.3,0.0,positive
R00104,Coffee Maker,Nothing particularly stands out. The packaging was average. It has both strengths and weaknesses.,3,14,97,6,3,0,0,3,0.01,0.0,positive
R00105,Office Chair,I would definitely recommend this product. Performance has been smooth every day. Customer support was helpful.,5,16,111,6,3,0,0,3,0.2,0.0,positive
R00106,Coffee Maker,The design is sleek and modern. Delivery was fast and the packaging was secure. Setup was quick and easy.,4,19,105,4,3,0,0,3,0.31,0.0,positive
R00107,Laptop Stand,The packaging was average. It serves its intended purpose. It meets basic requirements.,3,13,87,5,3,0,0,3,0.0,0.07,negative
R00108,Office Chair,The packaging was average. The product is okay overall. The quality is acceptable for the price.,3,16,96,5,3,0,0,3,0.12,0.0,positive
R00109,Desk Lamp,Performance is slower than expected. I would not recommend this product. It is overpriced for the features offered.,2,18,115,5,3,0,0,3,0.0,0.1,negative
R00110,USB-C Hub,I would not recommend this product. Setup instructions were confusing. Performance is slower than expected.,2,15,107,6,3,0,0,3,0.0,0.2,negative
R00111,Coffee Maker,The value for money is impressive. It works exactly as advertised. The design is sleek and modern.,5,17,98,4,3,0,0,3,0.48,0.0,positive
R00112,Gaming Keyboard,The design is bulky and uncomfortable. The build quality feels cheap. It stopped working after a few days.,2,18,106,4,3,0,0,3,0.0,0.1,negative
R00113,Bluetooth Speaker,The design is sleek and modern. Setup was quick and easy. Delivery was fast and the packaging was secure.,5,19,105,4,3,0,0,3,0.31,0.0,positive
R00114,Bluetooth Speaker,Performance has been smooth every day. The design is sleek and modern. The build quality is excellent.,4,17,102,5,3,0,0,3,0.53,0.0,positive
R00115,Gaming Keyboard,The design is bulky and uncomfortable. The build quality feels cheap. It stopped working after a few days.,2,18,106,4,3,0,0,3,0.0,0.1,negative
R00116,Coffee Maker,It is easy to use after some practice. It has both strengths and weaknesses. The product performs as expected.,3,19,110,4,3,0,0,3,0.17,0.0,positive
R00117,Wireless Mouse,The design is sleek and modern. It works exactly as advertised. Setup was quick and easy.,5,16,89,4,3,0,0,3,0.3,0.0,positive
R00118,Gaming Keyboard,It is overpriced for the features offered. The build quality feels cheap. The battery drains very quickly.,1,17,106,5,3,0,0,3,0.42,0.0,positive
R00119,Bluetooth Speaker,Performance has been smooth every day. The design is sleek and modern. The build quality is excellent.,4,17,102,5,3,0,0,3,0.53,0.0,positive
R00120,Coffee Maker,It works exactly as advertised. Setup was quick and easy. Delivery was fast and the packaging was secure.,4,18,105,4,3,0,0,3,0.32,0.0,positive
R00121,Coffee Maker,It works exactly as advertised. Setup was quick and easy. Delivery was fast and the packaging was secure.,4,18,105,4,3,0,0,3,0.32,0.0,positive
R00122,Coffee Maker,The design is sleek and modern. Delivery was fast and the packaging was secure. The value for money is impressive.,5,20,114,4,3,0,0,3,0.45,0.0,positive
R00123,Laptop Stand,I would definitely recommend this product. The design is sleek and modern. The build quality is excellent.,4,17,106,5,3,0,0,3,0.4,0.0,positive
R00124,Coffee Maker,Nothing particularly stands out. The packaging was average. It has both strengths and weaknesses.,3,14,97,6,3,0,0,3,0.01,0.0,positive
R00125,Office Chair,The battery life exceeded my expectations. Performance has been smooth every day. I would definitely recommend this product.,5,18,124,5,3,0,0,3,0.2,0.0,positive
R00126,Laptop Stand,It works exactly as advertised. I would definitely recommend this product. The value for money is impressive.,4,17,109,5,3,0,0,3,0.42,0.0,positive
R00127,USB-C Hub,It stopped working after a few days. It is overpriced for the features offered. The design is bulky and uncomfortable.,1,20,118,4,3,0,0,3,0.0,0.35,negative
R00128,Laptop Stand,The design is bulky and uncomfortable. Delivery was delayed and the box was damaged. Customer support was difficult to reach.,2,20,125,5,3,0,0,3,0.0,0.5,negative
R00129,Bluetooth Speaker,The design is sleek and modern. Customer support was helpful. Performance has been smooth every day.,4,16,100,5,3,0,0,3,0.3,0.0,positive
R00130,Laptop Stand,The design is sleek and modern. The value for money is impressive. Performance has been smooth every day.,5,18,105,4,3,0,0,3,0.53,0.0,positive
R00131,Coffee Maker,The design is sleek and modern. Delivery was fast and the packaging was secure. The value for money is impressive.,5,20,114,4,3,0,0,3,0.45,0.0,positive
R00132,Office Chair,It has both strengths and weaknesses. The product performs as expected. The product is okay overall.,3,16,100,5,3,0,0,3,0.13,0.0,positive
R00133,Desk Lamp,The value for money is impressive. I would definitely recommend this product. Customer support was helpful.,5,16,107,5,3,0,0,3,0.5,0.0,positive
R00134,USB-C Hub,Nothing particularly stands out. The features are adequate for daily use. The quality is acceptable for the price.,3,18,114,5,3,0,0,3,0.17,0.0,positive
R00135,Gaming Keyboard,The design is bulky and uncomfortable. The build quality feels cheap. It stopped working after a few days.,2,18,106,4,3,0,0,3,0.0,0.1,negative
R00136,Desk Lamp,The build quality is excellent. It works exactly as advertised. I would definitely recommend this product.,5,16,106,5,3,0,0,3,0.42,0.0,positive
R00137,Gaming Keyboard,It stopped working after a few days. The design is bulky and uncomfortable. Performance is slower than expected.,2,18,112,5,3,0,0,3,0.0,0.27,negative
R00138,Wireless Mouse,Nothing particularly stands out. It is easy to use after some practice. It has both strengths and weaknesses.,3,18,109,5,3,0,0,3,0.3,0.0,positive
R00139,USB-C Hub,The design is bulky and uncomfortable. Performance is slower than expected. It is overpriced for the features offered.,1,18,118,5,3,0,0,3,0.0,0.3,negative
R00140,USB-C Hub,It is overpriced for the features offered. The build quality feels cheap. Setup instructions were confusing.,1,16,108,5,3,0,0,3,0.05,0.0,positive
R00141,Coffee Maker,It works exactly as advertised. Setup was quick and easy. Delivery was fast and the packaging was secure.,4,18,105,4,3,0,0,3,0.32,0.0,positive
R00142,Office Chair,The packaging was average. The product is okay overall. The quality is acceptable for the price.,3,16,96,5,3,0,0,3,0.12,0.0,positive
R00143,Gaming Keyboard,It stopped working after a few days. The design is bulky and uncomfortable. Performance is slower than expected.,2,18,112,5,3,0,0,3,0.0,0.27,negative
R00144,Coffee Maker,The packaging was average. It has both strengths and weaknesses. It meets basic requirements.,3,14,93,5,3,0,0,3,0.0,0.07,negative
R00145,Power Bank,The build quality feels cheap. The design is bulky and uncomfortable. Performance is slower than expected.,1,16,106,5,3,0,0,3,0.0,0.07,negative
R00146,Wireless Mouse,It works exactly as advertised. Setup was quick and easy. Delivery was fast and the packaging was secure.,5,18,105,4,3,0,0,3,0.32,0.0,positive
R00147,Bluetooth Speaker,The design is sleek and modern. Setup was quick and easy. Delivery was fast and the packaging was secure.,5,19,105,4,3,0,0,3,0.31,0.0,positive
R00148,Laptop Stand,I would definitely recommend this product. The design is sleek and modern. The build quality is excellent.,4,17,106,5,3,0,0,3,0.4,0.0,positive
R00149,Desk Lamp,It stopped working after a few days. It is overpriced for the features offered. Setup instructions were confusing.,2,18,114,5,3,0,0,3,0.0,0.25,negative
R00150,Bluetooth Speaker,Delivery was fast and the packaging was secure. Setup was quick and easy. The battery life exceeded my expectations.,5,19,116,5,3,0,0,3,0.34,0.0,positive
R00151,Office Chair,Delivery was fast and the packaging was secure. It works exactly as advertised. The design is sleek and modern.,5,19,111,4,3,0,0,3,0.26,0.0,positive
R00152,Coffee Maker,The value for money is impressive. It works exactly as advertised. The design is sleek and modern.,5,17,98,4,3,0,0,3,0.48,0.0,positive
R00153,Wireless Mouse,Setup instructions were confusing. I would not recommend this product. It stopped working after a few days.,2,17,107,5,3,0,0,3,0.0,0.25,negative
R00154,Coffee Maker,The design is sleek and modern. Delivery was fast and the packaging was secure. Setup was quick and easy.,4,19,105,4,3,0,0,3,0.31,0.0,positive
R00155,Desk Lamp,It stopped working after a few days. It is overpriced for the features offered. Setup instructions were confusing.,2,18,114,5,3,0,0,3,0.0,0.25,negative
R00156,Bluetooth Speaker,Nothing particularly stands out. It is easy to use after some practice. It serves its intended purpose.,3,17,103,5,3,0,0,3,0.3,0.0,positive
R00157,Office Chair,Performance is slower than expected. Delivery was delayed and the box was damaged. The battery drains very quickly.,1,18,115,5,3,0,0,3,0.17,0.0,positive
R00158,Wireless Mouse,The features are adequate for daily use. Nothing particularly stands out. The product performs as expected.,3,16,107,5,3,0,0,3,0.1,0.0,positive
R00159,Coffee Maker,It is easy to use after some practice. It has both strengths and weaknesses. The product performs as expected.,3,19,110,4,3,0,0,3,0.17,0.0,positive
R00160,Power Bank,The build quality feels cheap. The design is bulky and uncomfortable. Delivery was delayed and the box was damaged.,2,19,115,5,3,0,0,3,0.0,0.05,negative
R00161,Power Bank,The quality is acceptable for the price. It meets basic requirements. It serves its intended purpose.,3,16,101,5,3,0,0,3,0.0,0.0,neutral
R00162,Power Bank,The build quality feels cheap. The design is bulky and uncomfortable. Delivery was delayed and the box was damaged.,2,19,115,5,3,0,0,3,0.0,0.05,negative
R00163,Office Chair,Delivery was fast and the packaging was secure. Setup was quick and easy. The value for money is impressive.,5,19,108,4,3,0,0,3,0.47,0.0,positive
R00164,Power Bank,It is overpriced for the features offered. The design is bulky and uncomfortable. The battery drains very quickly.,2,18,114,5,3,0,0,3,0.0,0.03,negative
R00165,Desk Lamp,The value for money is impressive. I would definitely recommend this product. Customer support was helpful.,5,16,107,5,3,0,0,3,0.5,0.0,positive
R00166,Coffee Maker,The design is sleek and modern. Delivery was fast and the packaging was secure. Setup was quick and easy.,4,19,105,4,3,0,0,3,0.31,0.0,positive
R00167,Power Bank,It meets basic requirements. The product performs as expected. It has both strengths and weaknesses.,3,15,100,5,3,0,0,3,0.0,0.05,negative
R00168,Office Chair,I would definitely recommend this product. Performance has been smooth every day. Customer support was helpful.,5,16,111,6,3,0,0,3,0.2,0.0,positive
R00169,Bluetooth Speaker,The build quality is excellent. Delivery was fast and the packaging was secure. Setup was quick and easy.,4,18,105,4,3,0,0,3,0.47,0.0,positive
R00170,Gaming Keyboard,Performance has been smooth every day. Setup was quick and easy. The design is sleek and modern.,4,17,96,4,3,0,0,3,0.34,0.0,positive
R00171,Coffee Maker,Delivery was fast and the packaging was secure. The battery life exceeded my expectations. I would definitely recommend this product.,5,20,133,5,3,0,0,3,0.2,0.0,positive
R00172,USB-C Hub,I would not recommend this product. Setup instructions were confusing. Performance is slower than expected.,2,15,107,6,3,0,0,3,0.0,0.2,negative
R00173,Power Bank,It has both strengths and weaknesses. The packaging was average. The product performs as expected.,3,15,98,5,3,0,0,3,0.0,0.12,negative
R00174,USB-C Hub,The design is bulky and uncomfortable. Performance is slower than expected. It is overpriced for the features offered.,1,18,118,5,3,0,0,3,0.0,0.3,negative
R00175,Office Chair,The battery life exceeded my expectations. Performance has been smooth every day. I would definitely recommend this product.,5,18,124,5,3,0,0,3,0.2,0.0,positive
R00176,Gaming Keyboard,It is easy to use after some practice. It has both strengths and weaknesses. The packaging was average.,3,18,103,4,3,0,0,3,0.14,0.0,positive
R00177,Bluetooth Speaker,Nothing particularly stands out. It is easy to use after some practice. It serves its intended purpose.,3,17,103,5,3,0,0,3,0.3,0.0,positive
R00178,Laptop Stand,The packaging was average. It serves its intended purpose. It meets basic requirements.,3,13,87,5,3,0,0,3,0.0,0.07,negative
R00179,USB-C Hub,Nothing particularly stands out. The features are adequate for daily use. The quality is acceptable for the price.,3,18,114,5,3,0,0,3,0.17,0.0,positive
R00180,Wireless Mouse,The product is okay overall. It has both strengths and weaknesses. The features are adequate for daily use.,3,18,107,5,3,0,0,3,0.21,0.0,positive
R00181,Gaming Keyboard,Performance has been smooth every day. The design is sleek and modern. The battery life exceeded my expectations.,4,18,113,5,3,0,0,3,0.3,0.0,positive
R00182,Office Chair,The battery life exceeded my expectations. Performance has been smooth every day. I would definitely recommend this product.,5,18,124,5,3,0,0,3,0.2,0.0,positive
R00183,Office Chair,The battery life exceeded my expectations. Performance has been smooth every day. I would definitely recommend this product.,5,18,124,5,3,0,0,3,0.2,0.0,positive
R00184,Wireless Mouse,Nothing particularly stands out. It is easy to use after some practice. It has both strengths and weaknesses.,3,18,109,5,3,0,0,3,0.3,0.0,positive
R00185,Laptop Stand,Performance is slower than expected. The design is bulky and uncomfortable. Setup instructions were confusing.,2,15,110,6,3,0,0,3,0.0,0.3,negative
R00186,Wireless Mouse,Performance has been smooth every day. The design is sleek and modern. Setup was quick and easy.,5,17,96,4,3,0,0,3,0.34,0.0,positive
R00187,USB-C Hub,Nothing particularly stands out. The features are adequate for daily use. The quality is acceptable for the price.,3,18,114,5,3,0,0,3,0.17,0.0,positive
R00188,Gaming Keyboard,Customer support was difficult to reach. Delivery was delayed and the box was damaged. It is overpriced for the features offered.,2,21,129,5,3,0,0,3,0.0,0.5,negative
